ip,total_threats,sql_injection,xss_attack,path_traversal,threat_score,high_severity_count,risk_level
203.115.97.42,175,175,0,0,1750,175,CRITICAL
182.72.100.186,36,36,0,0,360,36,CRITICAL
204.10.194.152,36,0,0,0,180,0,CRITICAL
183.82.33.14,18,17,0,1,179,17,CRITICAL
170.205.31.106,27,0,0,0,135,0,CRITICAL
114.10.47.77,13,13,0,0,130,13,CRITICAL
58.26.251.212,13,13,0,0,130,13,CRITICAL
103.155.3.139,11,11,0,0,110,11,CRITICAL
152.59.147.164,11,11,0,0,110,11,CRITICAL
106.215.102.245,10,10,0,0,100,10,CRITICAL
49.47.132.145,9,9,0,0,90,9,CRITICAL
103.147.1.251,9,9,0,0,90,9,CRITICAL
117.96.20.117,8,8,0,0,80,8,CRITICAL
106.219.90.156,8,3,0,5,75,3,CRITICAL
223.178.80.199,7,7,0,0,70,7,CRITICAL
223.230.133.208,7,7,0,0,70,7,CRITICAL
1.187.219.6,7,7,0,0,70,7,CRITICAL
152.58.46.166,7,7,0,0,70,7,CRITICAL
171.79.37.114,8,5,0,0,65,5,CRITICAL
223.187.130.224,6,6,0,0,60,6,CRITICAL
49.43.161.141,6,6,0,0,60,6,CRITICAL
103.83.148.108,6,6,0,0,60,6,CRITICAL
152.58.132.227,6,6,0,0,60,6,CRITICAL
113.211.33.7,6,6,0,0,60,6,CRITICAL
47.15.34.69,6,6,0,0,60,6,CRITICAL
103.199.180.234,6,6,0,0,60,6,CRITICAL
202.164.136.46,5,5,0,0,50,5,CRITICAL
152.58.185.75,5,5,0,0,50,5,CRITICAL
35.95.130.177,10,0,0,0,50,0,CRITICAL
223.178.121.197,5,5,0,0,50,5,CRITICAL
42.105.203.246,5,5,0,0,50,5,CRITICAL
106.219.216.249,5,5,0,0,50,5,CRITICAL
152.59.134.239,5,5,0,0,50,5,CRITICAL
157.39.27.226,5,5,0,0,50,5,CRITICAL
170.205.31.134,10,0,0,0,50,0,CRITICAL
110.226.224.167,6,3,0,0,45,3,CRITICAL
45.61.161.58,9,0,0,0,45,0,CRITICAL
54.226.99.18,9,0,0,0,45,0,CRITICAL
170.205.31.108,9,0,0,0,45,0,CRITICAL
170.205.31.123,9,0,0,0,45,0,CRITICAL
49.43.248.72,5,3,0,0,40,3,CRITICAL
49.36.88.167,4,4,0,0,40,4,CRITICAL
64.233.173.205,8,0,0,0,40,0,CRITICAL
103.77.43.128,4,4,0,0,40,4,CRITICAL
152.59.178.166,4,4,0,0,40,4,CRITICAL
106.206.158.165,4,4,0,0,40,4,CRITICAL
223.182.93.39,4,4,0,0,40,4,CRITICAL
157.35.3.34,4,4,0,0,40,4,CRITICAL
106.205.187.166,5,3,0,0,40,3,CRITICAL
103.178.253.101,4,4,0,0,40,4,CRITICAL
103.189.90.196,4,4,0,0,40,4,CRITICAL
49.47.129.230,4,4,0,0,40,4,CRITICAL
223.230.134.68,4,4,0,0,40,4,CRITICAL
118.101.195.123,4,3,0,0,35,3,CRITICAL
122.172.84.142,4,3,0,0,35,3,CRITICAL
106.219.212.220,3,3,0,0,30,3,CRITICAL
223.237.137.68,3,3,0,0,30,3,CRITICAL
27.60.107.224,3,3,0,0,30,3,CRITICAL
106.208.149.244,3,3,0,0,30,3,CRITICAL
106.222.156.141,3,3,0,0,30,3,CRITICAL
106.198.114.98,3,3,0,0,30,3,CRITICAL
106.205.160.217,3,3,0,0,30,3,CRITICAL
103.240.205.125,3,3,0,0,30,3,CRITICAL
103.203.73.228,3,3,0,0,30,3,CRITICAL
117.96.146.124,3,3,0,0,30,3,CRITICAL
223.176.57.239,3,3,0,0,30,3,CRITICAL
47.9.106.70,3,3,0,0,30,3,CRITICAL
47.9.83.91,3,3,0,0,30,3,CRITICAL
47.15.8.179,3,3,0,0,30,3,CRITICAL
157.50.67.68,3,3,0,0,30,3,CRITICAL
157.48.217.166,3,3,0,0,30,3,CRITICAL
157.47.116.251,3,3,0,0,30,3,CRITICAL
223.186.140.4,3,3,0,0,30,3,CRITICAL
27.97.180.94,3,3,0,0,30,3,CRITICAL
223.189.253.63,3,3,0,0,30,3,CRITICAL
117.193.13.5,3,3,0,0,30,3,CRITICAL
106.219.241.247,3,3,0,0,30,3,CRITICAL
106.219.244.128,3,3,0,0,30,3,CRITICAL
106.219.240.22,3,3,0,0,30,3,CRITICAL
223.178.81.18,3,3,0,0,30,3,CRITICAL
223.190.220.168,3,3,0,0,30,3,CRITICAL
223.190.140.195,3,3,0,0,30,3,CRITICAL
42.105.96.70,3,3,0,0,30,3,CRITICAL
103.216.212.115,3,3,0,0,30,3,CRITICAL
47.15.208.18,3,3,0,0,30,3,CRITICAL
34.212.20.99,6,0,0,0,30,0,CRITICAL
47.15.222.79,3,3,0,0,30,3,CRITICAL
106.196.113.117,3,3,0,0,30,3,CRITICAL
47.15.252.151,3,3,0,0,30,3,CRITICAL
47.15.35.141,3,3,0,0,30,3,CRITICAL
106.216.118.163,3,3,0,0,30,3,CRITICAL
157.46.173.160,3,3,0,0,30,3,CRITICAL
114.31.128.58,3,3,0,0,30,3,CRITICAL
171.50.227.152,3,3,0,0,30,3,CRITICAL
117.195.142.231,3,3,0,0,30,3,CRITICAL
122.167.212.222,3,3,0,0,30,3,CRITICAL
49.37.116.113,3,3,0,0,30,3,CRITICAL
152.59.219.104,3,3,0,0,30,3,CRITICAL
152.59.219.11,3,3,0,0,30,3,CRITICAL
152.59.30.140,3,3,0,0,30,3,CRITICAL
152.59.64.230,3,3,0,0,30,3,CRITICAL
152.59.144.161,3,3,0,0,30,3,CRITICAL
152.59.145.110,3,3,0,0,30,3,CRITICAL
157.35.43.235,3,3,0,0,30,3,CRITICAL
157.42.242.239,3,3,0,0,30,3,CRITICAL
152.56.135.90,3,3,0,0,30,3,CRITICAL
152.56.153.202,3,3,0,0,30,3,CRITICAL
157.35.71.92,3,3,0,0,30,3,CRITICAL
157.42.215.254,3,3,0,0,30,3,CRITICAL
121.121.196.46,3,3,0,0,30,3,CRITICAL
157.35.61.133,3,3,0,0,30,3,CRITICAL
152.59.171.246,3,3,0,0,30,3,CRITICAL
152.56.134.110,3,3,0,0,30,3,CRITICAL
152.58.132.180,3,3,0,0,30,3,CRITICAL
152.58.176.158,3,3,0,0,30,3,CRITICAL
152.58.158.160,3,3,0,0,30,3,CRITICAL
152.58.187.41,3,3,0,0,30,3,CRITICAL
122.172.85.160,3,3,0,0,30,3,CRITICAL
152.58.143.68,3,3,0,0,30,3,CRITICAL
152.58.134.151,3,3,0,0,30,3,CRITICAL
49.43.235.22,3,3,0,0,30,3,CRITICAL
49.47.128.147,3,3,0,0,30,3,CRITICAL
152.56.11.251,3,3,0,0,30,3,CRITICAL
47.11.236.28,3,3,0,0,30,3,CRITICAL
59.94.151.27,3,3,0,0,30,3,CRITICAL
64.233.173.206,6,0,0,0,30,0,CRITICAL
49.47.241.8,3,3,0,0,30,3,CRITICAL
103.123.60.33,3,3,0,0,30,3,CRITICAL
49.36.91.209,3,2,0,1,29,2,HIGH
64.233.173.204,5,0,0,0,25,0,HIGH
152.58.134.67,2,2,0,0,20,2,HIGH
49.36.169.99,2,2,0,0,20,2,HIGH
223.190.176.23,2,2,0,0,20,2,HIGH
49.47.8.211,2,2,0,0,20,2,HIGH
49.47.132.31,2,2,0,0,20,2,HIGH
122.170.215.63,2,2,0,0,20,2,HIGH
47.15.14.218,4,0,0,0,20,0,HIGH
117.207.104.30,2,2,0,0,20,2,HIGH
106.219.246.168,2,2,0,0,20,2,HIGH
47.15.238.123,3,1,0,0,20,1,HIGH
42.105.154.103,2,2,0,0,20,2,HIGH
42.104.130.139,2,2,0,0,20,2,HIGH
152.59.142.121,2,2,0,0,20,2,HIGH
117.96.148.61,2,2,0,0,20,2,HIGH
117.223.238.243,2,2,0,0,20,2,HIGH
152.58.186.121,2,2,0,0,20,2,HIGH
117.195.8.173,2,2,0,0,20,2,HIGH
152.58.176.220,2,2,0,0,20,2,HIGH
117.99.228.207,2,2,0,0,20,2,HIGH
157.42.18.223,2,2,0,0,20,2,HIGH
49.42.32.7,2,2,0,0,20,2,HIGH
152.56.146.100,2,2,0,0,20,2,HIGH
49.43.3.174,2,2,0,0,20,2,HIGH
152.58.159.184,2,2,0,0,20,2,HIGH
152.58.158.172,2,2,0,0,20,2,HIGH
152.59.65.31,2,2,0,0,20,2,HIGH
157.35.70.220,2,2,0,0,20,2,HIGH
152.58.188.169,2,2,0,0,20,2,HIGH
152.58.187.230,2,2,0,0,20,2,HIGH
106.194.22.234,2,2,0,0,20,2,HIGH
117.195.12.56,2,2,0,0,20,2,HIGH
122.164.12.181,2,2,0,0,20,2,HIGH
157.42.199.69,2,2,0,0,20,2,HIGH
157.41.228.195,2,2,0,0,20,2,HIGH
157.41.224.27,2,2,0,0,20,2,HIGH
171.51.168.130,2,2,0,0,20,2,HIGH
110.224.81.15,2,2,0,0,20,2,HIGH
117.96.253.64,2,2,0,0,20,2,HIGH
117.238.112.121,2,2,0,0,20,2,HIGH
106.221.242.179,2,2,0,0,20,2,HIGH
223.176.56.54,2,2,0,0,20,2,HIGH
223.176.59.151,2,2,0,0,20,2,HIGH
106.220.61.35,2,2,0,0,20,2,HIGH
106.219.66.191,2,2,0,0,20,2,HIGH
106.219.64.203,2,2,0,0,20,2,HIGH
223.181.201.214,2,2,0,0,20,2,HIGH
223.178.80.169,2,2,0,0,20,2,HIGH
223.176.60.35,2,2,0,0,20,2,HIGH
223.230.154.221,3,1,0,0,20,1,HIGH
223.230.128.136,2,2,0,0,20,2,HIGH
157.42.18.106,2,0,0,2,18,0,HIGH
152.58.153.220,2,1,0,0,15,1,HIGH
157.34.76.19,3,0,0,0,15,0,HIGH
152.59.170.78,2,1,0,0,15,1,HIGH
152.59.208.64,3,0,0,0,15,0,HIGH
27.61.80.36,2,1,0,0,15,1,HIGH
152.59.65.68,2,1,0,0,15,1,HIGH
49.36.221.74,3,0,0,0,15,0,HIGH
103.42.89.9,3,0,0,0,15,0,HIGH
47.9.33.148,2,1,0,0,15,1,HIGH
106.221.105.253,2,1,0,0,15,1,HIGH
106.219.219.141,2,1,0,0,15,1,HIGH
49.43.169.174,2,1,0,0,15,1,HIGH
106.194.29.55,2,1,0,0,15,1,HIGH
171.79.33.114,3,0,0,0,15,0,HIGH
152.59.133.237,1,1,0,0,10,1,HIGH
152.59.130.35,1,1,0,0,10,1,HIGH
152.59.109.171,1,1,0,0,10,1,HIGH
49.42.33.99,1,1,0,0,10,1,HIGH
49.37.27.189,1,1,0,0,10,1,HIGH
152.58.159.252,1,1,0,0,10,1,HIGH
152.59.107.74,1,1,0,0,10,1,HIGH
152.58.59.186,1,1,0,0,10,1,HIGH
152.59.143.148,1,1,0,0,10,1,HIGH
152.59.142.42,1,1,0,0,10,1,HIGH
125.62.127.45,1,1,0,0,10,1,HIGH
152.58.157.151,1,1,0,0,10,1,HIGH
152.58.152.170,1,1,0,0,10,1,HIGH
152.58.134.96,1,1,0,0,10,1,HIGH
152.58.134.154,1,1,0,0,10,1,HIGH
152.58.133.199,1,1,0,0,10,1,HIGH
152.58.133.109,1,1,0,0,10,1,HIGH
119.42.59.87,1,1,0,0,10,1,HIGH
117.99.234.207,1,1,0,0,10,1,HIGH
152.59.142.224,1,1,0,0,10,1,HIGH
152.59.87.158,1,1,0,0,10,1,HIGH
152.59.64.167,1,1,0,0,10,1,HIGH
49.36.216.254,1,1,0,0,10,1,HIGH
49.36.170.211,1,1,0,0,10,1,HIGH
49.36.103.12,1,1,0,0,10,1,HIGH
152.59.170.169,1,1,0,0,10,1,HIGH
152.59.169.60,1,1,0,0,10,1,HIGH
152.59.169.12,1,1,0,0,10,1,HIGH
152.59.147.218,1,1,0,0,10,1,HIGH
152.59.171.64,1,1,0,0,10,1,HIGH
152.59.171.62,1,1,0,0,10,1,HIGH
157.35.48.123,1,1,0,0,10,1,HIGH
157.35.46.3,1,1,0,0,10,1,HIGH
157.35.27.144,1,1,0,0,10,1,HIGH
157.35.27.142,1,1,0,0,10,1,HIGH
157.35.27.106,1,1,0,0,10,1,HIGH
157.35.26.50,1,1,0,0,10,1,HIGH
157.35.26.197,1,1,0,0,10,1,HIGH
157.35.26.111,1,1,0,0,10,1,HIGH
152.59.146.73,1,1,0,0,10,1,HIGH
152.59.146.3,1,1,0,0,10,1,HIGH
152.59.145.189,1,1,0,0,10,1,HIGH
152.59.145.180,1,1,0,0,10,1,HIGH
152.59.144.40,1,1,0,0,10,1,HIGH
152.59.144.118,1,1,0,0,10,1,HIGH
152.59.190.63,1,1,0,0,10,1,HIGH
152.59.178.172,1,1,0,0,10,1,HIGH
117.98.38.190,1,1,0,0,10,1,HIGH
117.98.38.12,1,1,0,0,10,1,HIGH
152.56.146.96,1,1,0,0,10,1,HIGH
152.56.146.193,1,1,0,0,10,1,HIGH
152.56.135.86,1,1,0,0,10,1,HIGH
152.56.135.81,1,1,0,0,10,1,HIGH
152.56.135.40,1,1,0,0,10,1,HIGH
152.56.135.244,1,1,0,0,10,1,HIGH
117.234.197.160,1,1,0,0,10,1,HIGH
157.35.24.93,1,1,0,0,10,1,HIGH
157.35.24.59,1,1,0,0,10,1,HIGH
157.35.24.34,1,1,0,0,10,1,HIGH
157.34.35.228,1,1,0,0,10,1,HIGH
152.59.95.177,1,1,0,0,10,1,HIGH
157.40.125.113,1,1,0,0,10,1,HIGH
157.39.18.158,1,1,0,0,10,1,HIGH
157.37.181.19,1,1,0,0,10,1,HIGH
157.35.69.144,1,1,0,0,10,1,HIGH
157.35.68.4,1,1,0,0,10,1,HIGH
157.35.68.20,1,1,0,0,10,1,HIGH
157.35.68.191,1,1,0,0,10,1,HIGH
117.195.228.202,1,1,0,0,10,1,HIGH
122.171.90.64,1,1,0,0,10,1,HIGH
117.98.44.252,1,1,0,0,10,1,HIGH
122.168.47.98,1,1,0,0,10,1,HIGH
1.187.236.154,1,1,0,0,10,1,HIGH
122.162.148.149,1,1,0,0,10,1,HIGH
114.31.134.160,1,1,0,0,10,1,HIGH
157.35.61.253,1,1,0,0,10,1,HIGH
157.42.242.11,1,1,0,0,10,1,HIGH
157.42.236.59,1,1,0,0,10,1,HIGH
157.42.222.163,1,1,0,0,10,1,HIGH
157.42.217.183,1,1,0,0,10,1,HIGH
157.42.217.145,1,1,0,0,10,1,HIGH
1.39.103.48,1,1,0,0,10,1,HIGH
183.83.148.143,1,1,0,0,10,1,HIGH
182.68.6.72,1,1,0,0,10,1,HIGH
1.39.76.13,1,1,0,0,10,1,HIGH
157.42.16.185,1,1,0,0,10,1,HIGH
103.171.117.194,1,1,0,0,10,1,HIGH
175.144.93.193,1,1,0,0,10,1,HIGH
106.219.245.155,1,1,0,0,10,1,HIGH
47.15.239.141,1,1,0,0,10,1,HIGH
161.248.54.61,1,1,0,0,10,1,HIGH
157.50.69.33,1,1,0,0,10,1,HIGH
157.35.66.163,1,1,0,0,10,1,HIGH
157.35.64.58,1,1,0,0,10,1,HIGH
157.35.64.200,1,1,0,0,10,1,HIGH
157.35.63.51,1,1,0,0,10,1,HIGH
110.226.228.248,1,1,0,0,10,1,HIGH
110.226.180.115,1,1,0,0,10,1,HIGH
110.224.92.67,1,1,0,0,10,1,HIGH
38.137.16.112,1,1,0,0,10,1,HIGH
31.13.115.9,1,1,0,0,10,1,HIGH
122.170.20.82,1,1,0,0,10,1,HIGH
106.221.50.79,1,1,0,0,10,1,HIGH
106.221.254.242,1,1,0,0,10,1,HIGH
106.221.245.179,1,1,0,0,10,1,HIGH
223.176.59.138,1,1,0,0,10,1,HIGH
47.15.32.191,1,1,0,0,10,1,HIGH
223.176.118.139,1,1,0,0,10,1,HIGH
202.173.124.79,1,1,0,0,10,1,HIGH
223.231.232.246,1,1,0,0,10,1,HIGH
223.231.166.187,1,1,0,0,10,1,HIGH
49.205.84.47,1,1,0,0,10,1,HIGH
49.15.231.43,1,1,0,0,10,1,HIGH
49.15.185.203,1,1,0,0,10,1,HIGH
47.9.84.97,1,1,0,0,10,1,HIGH
47.9.35.58,1,1,0,0,10,1,HIGH
27.61.194.158,1,1,0,0,10,1,HIGH
47.9.136.78,1,1,0,0,10,1,HIGH
47.9.115.90,1,1,0,0,10,1,HIGH
47.9.104.242,1,1,0,0,10,1,HIGH
47.15.43.188,1,1,0,0,10,1,HIGH
27.60.174.238,1,1,0,0,10,1,HIGH
111.92.117.77,1,1,0,0,10,1,HIGH
27.60.131.55,1,1,0,0,10,1,HIGH
106.220.61.104,1,1,0,0,10,1,HIGH
106.220.56.193,1,1,0,0,10,1,HIGH
106.220.226.215,1,1,0,0,10,1,HIGH
152.58.186.130,1,1,0,0,10,1,HIGH
106.219.65.140,1,1,0,0,10,1,HIGH
152.58.57.231,1,1,0,0,10,1,HIGH
106.219.246.248,1,1,0,0,10,1,HIGH
114.31.179.179,1,1,0,0,10,1,HIGH
106.219.242.237,1,1,0,0,10,1,HIGH
223.184.160.97,1,1,0,0,10,1,HIGH
152.58.43.247,1,1,0,0,10,1,HIGH
223.180.178.173,1,1,0,0,10,1,HIGH
223.180.177.129,1,1,0,0,10,1,HIGH
152.58.25.50,1,1,0,0,10,1,HIGH
152.58.247.55,1,1,0,0,10,1,HIGH
42.108.92.151,1,1,0,0,10,1,HIGH
223.230.161.93,1,1,0,0,10,1,HIGH
152.58.189.118,1,1,0,0,10,1,HIGH
152.58.188.0,1,1,0,0,10,1,HIGH
223.228.249.1,1,1,0,0,10,1,HIGH
152.58.132.118,1,1,0,0,10,1,HIGH
223.190.136.151,1,1,0,0,10,1,HIGH
223.187.186.23,1,1,0,0,10,1,HIGH
27.97.180.228,1,1,0,0,10,1,HIGH
27.97.176.254,1,1,0,0,10,1,HIGH
27.61.92.155,1,1,0,0,10,1,HIGH
223.185.59.87,1,1,0,0,10,1,HIGH
223.184.164.203,1,1,0,0,10,1,HIGH
152.58.125.122,1,1,0,0,10,1,HIGH
106.219.211.190,1,1,0,0,10,1,HIGH
106.219.209.84,1,1,0,0,10,1,HIGH
106.219.187.213,1,1,0,0,10,1,HIGH
106.219.169.85,1,1,0,0,10,1,HIGH
106.219.168.212,1,1,0,0,10,1,HIGH
106.216.122.237,1,1,0,0,10,1,HIGH
106.222.190.155,1,1,0,0,10,1,HIGH
106.208.158.149,1,1,0,0,10,1,HIGH
106.207.7.101,1,1,0,0,10,1,HIGH
27.56.50.213,1,1,0,0,10,1,HIGH
223.239.107.155,1,1,0,0,10,1,HIGH
223.237.136.235,1,1,0,0,10,1,HIGH
223.237.131.32,1,1,0,0,10,1,HIGH
223.237.131.180,1,1,0,0,10,1,HIGH
43.224.3.177,1,1,0,0,10,1,HIGH
152.57.222.4,1,1,0,0,10,1,HIGH
152.58.187.202,1,1,0,0,10,1,HIGH
49.47.132.127,1,1,0,0,10,1,HIGH
103.77.136.177,1,1,0,0,10,1,HIGH
152.58.187.189,1,1,0,0,10,1,HIGH
103.208.68.78,1,1,0,0,10,1,HIGH
103.194.71.109,1,1,0,0,10,1,HIGH
42.108.228.208,1,1,0,0,10,1,HIGH
42.105.154.237,1,1,0,0,10,1,HIGH
106.206.204.66,1,1,0,0,10,1,HIGH
106.206.202.243,1,1,0,0,10,1,HIGH
106.205.186.88,1,1,0,0,10,1,HIGH
106.205.160.195,1,1,0,0,10,1,HIGH
152.58.187.118,1,1,0,0,10,1,HIGH
106.195.10.183,1,1,0,0,10,1,HIGH
152.58.186.236,1,1,0,0,10,1,HIGH
152.58.184.168,1,1,0,0,10,1,HIGH
152.58.186.214,1,1,0,0,10,1,HIGH
152.56.134.68,1,1,0,0,10,1,HIGH
49.43.4.248,1,1,0,0,10,1,HIGH
49.43.4.141,1,1,0,0,10,1,HIGH
152.58.186.154,1,1,0,0,10,1,HIGH
152.59.142.185,1,1,0,0,10,1,HIGH
49.43.168.153,1,1,0,0,10,1,HIGH
49.43.168.1,1,1,0,0,10,1,HIGH
49.42.54.60,1,1,0,0,10,1,HIGH
152.59.142.106,1,1,0,0,10,1,HIGH
152.59.135.189,1,1,0,0,10,1,HIGH
103.173.206.127,1,1,0,0,10,1,HIGH
